word	label	negative	neutral	positive
nothn	negative	0.739	0.147	0.114
@thefreezepop	neutral	0.319	0.625	0.056
'ko\'d'	neutral	0.378	0.559	0.063
@exoticmaya	neutral	0.231	0.47	0.299
progressing	neutral	0.038	0.782	0.18
@tammyburnell	neutral	0.017	0.566	0.417
emang	neutral	0.036	0.798	0.166
long-term	neutral	0.042	0.603	0.355
whaaaat	negative	0.502	0.379	0.119
skills	negative	0.478	0.241	0.281
differently	neutral	0.096	0.653	0.252
@dewz_pingpong	positive	0.319	0.153	0.528
skillz	negative	0.53	0.276	0.194
samee	positive	0.337	0.166	0.497
chickened	negative	0.586	0.397	0.017
tesco	neutral	0.029	0.83	0.141
superr	negative	0.509	0.115	0.376
gunna	neutral	0.323	0.559	0.117
ember	positive	0.237	0.126	0.637
kmrn	neutral	0.008	0.908	0.084
sammi	neutral	0.095	0.767	0.138
sammy	neutral	0.06	0.78	0.159
tessa	neutral	0.113	0.772	0.115
tesla	neutral	0.053	0.718	0.229
revisited	neutral	0.238	0.699	0.063
turkish	neutral	0.032	0.674	0.294
popping	neutral	0.142	0.794	0.064
poppins	neutral	0.221	0.677	0.102
salsa	neutral	0.11	0.697	0.193
gumbo	neutral	0.08	0.809	0.111
nothings	neutral	0.23	0.555	0.214
gumby	negative	0.497	0.396	0.106
nothingg	negative	0.497	0.443	0.06
@joeypage	positive	0.052	0.468	0.479
buddhism	neutral	0.253	0.382	0.364
buddhist	positive	0.201	0.399	0.4
salut	neutral	0.19	0.472	0.338
terra	neutral	0.124	0.768	0.109
soymilk	neutral	0.066	0.681	0.253
terri	neutral	0.144	0.723	0.133
$1000	neutral	0.091	0.771	0.139
screamo	negative	0.473	0.366	0.161
screams	negative	0.548	0.362	0.09
terry	neutral	0.022	0.731	0.247
@youngplatinum	positive	0.154	0.421	0.425
terus	neutral	0.026	0.725	0.248
@hayl3emarie	negative	0.48	0.467	0.053
noses	negative	0.735	0.236	0.028
@pattinsonrt	positive	0.051	0.078	0.87
@treasaint	positive	0.194	0.293	0.513
cousin	neutral	0.119	0.655	0.226
tweetless	negative	0.763	0.087	0.149
salah	neutral	0.015	0.93	0.055
salam	neutral	0.011	0.561	0.428
ripping	neutral	0.209	0.76	0.031
knoe	neutral	0.327	0.511	0.161
email	neutral	0.078	0.551	0.371
teenager	negative	0.594	0.282	0.124
norma	neutral	0.129	0.803	0.067
buttermilk	neutral	0.039	0.91	0.05
@hurricanehelms	positive	0.171	0.159	0.67
knoo	negative	0.491	0.428	0.081
knos	negative	0.794	0.033	0.173
knox	neutral	0.144	0.771	0.085
mamacita	positive	0.271	0.205	0.524
@whysogreen	neutral	0.122	0.639	0.239
desktops	neutral	0.029	0.846	0.126
gummi	neutral	0.457	0.471	0.072
beyond	neutral	0.286	0.42	0.294
footloose	neutral	0.275	0.39	0.335
emacs	neutral	0.195	0.733	0.072
@questlove	neutral	0.28	0.461	0.259
north	neutral	0.056	0.848	0.096
knwo	neutral	0.212	0.411	0.377
salle	neutral	0.287	0.577	0.136
course	positive	0.233	0.215	0.552
sally	neutral	0.082	0.743	0.175
maccabees	neutral	0.044	0.895	0.06
salem	neutral	0.059	0.868	0.073
sales	neutral	0.165	0.562	0.273
security	neutral	0.247	0.69	0.063
f**ked	negative	0.658	0.29	0.053
1password	neutral	0.016	0.665	0.319
kobe	neutral	0.207	0.613	0.18
f**kin	negative	0.825	0.152	0.023
frolicking	neutral	0.382	0.429	0.19
kody	neutral	0.095	0.844	0.061
@siwhitehouse	positive	0.366	0.124	0.509
@mrgarbutt	positive	0.078	0.269	0.653
tevez	neutral	0.303	0.508	0.189
homophobic	negative	0.878	0.089	0.033
http://ustre.am/3v2f	positive	0.002	0.455	0.542
@jeffmello	positive	0.129	0.152	0.719
@glossymom	positive	0.35	0.269	0.381
kogi	neutral	0.28	0.537	0.183
ramona	positive	0.117	0.316	0.567
automatic	neutral	0.326	0.468	0.206
koko	neutral	0.367	0.463	0.171
kona	neutral	0.007	0.516	0.478
@isil_loves_mcr	positive	0.175	0.397	0.428
kong	neutral	0.056	0.75	0.194
powell	neutral	0.024	0.755	0.221
@danni41	neutral	0.077	0.618	0.304
automated	neutral	0.364	0.494	0.142
kool	positive	0.196	0.308	0.496
http://bit.ly/lkami	positive	0.004	0.163	0.833
korn	positive	0.238	0.34	0.422
kors	neutral	0.079	0.866	0.054
kori	neutral	0.151	0.572	0.277
allegedly	neutral	0.191	0.574	0.235
lifeee	negative	0.474	0.348	0.179
touring	neutral	0.146	0.479	0.375
twitter-land	neutral	0.101	0.567	0.332
summmmmer	positive	0.047	0.277	0.676
guppy	negative	0.797	0.175	0.027
tourism	neutral	0.036	0.776	0.188
@mandypandy32	positive	0.026	0.153	0.821
vectors	neutral	0.118	0.618	0.263
@jansimpson	positive	0.064	0.304	0.632
novak	positive	0.275	0.331	0.394
$1200	neutral	0.077	0.505	0.418
@xx_megan_xx	positive	0.114	0.263	0.623
'now\'s'	neutral	0.222	0.509	0.269
santa	neutral	0.078	0.643	0.279
santi	neutral	0.185	0.736	0.079
ahhhhhhhh	negative	0.733	0.127	0.139
embry	neutral	0.059	0.61	0.331
cassette	neutral	0.166	0.708	0.126
@softthistle	negative	0.441	0.141	0.417
notre	positive	0.27	0.163	0.567
retweeted	positive	0.391	0.185	0.424
limping	negative	0.542	0.44	0.019
@trent_reznor	positive	0.046	0.105	0.849
@shannenp	positive	0.101	0.139	0.76
fantasize	negative	0.578	0.321	0.102
notte	neutral	0.032	0.587	0.381
notts	neutral	0.017	0.88	0.104
nottt	positive	0.083	0.451	0.465
glares	negative	0.776	0.2	0.025
sandi	neutral	0.005	0.722	0.272
snuggle	neutral	0.272	0.593	0.135
snuggly	negative	0.418	0.185	0.397
goneee	negative	0.506	0.437	0.057
skitch	neutral	0.072	0.511	0.416
snuggie	neutral	0.363	0.586	0.051
@bbrriittttyy	neutral	0.1	0.492	0.409
@saras85	negative	0.408	0.267	0.325
@hammer32	positive	0.096	0.121	0.783
texan	negative	0.518	0.432	0.05
texas	negative	0.375	0.362	0.263
gurls	negative	0.394	0.368	0.238
gurlz	neutral	0.244	0.623	0.133
ripples	neutral	0.228	0.64	0.131
alllllllll	negative	0.459	0.09	0.45
lightsaber	neutral	0.276	0.713	0.011
wrkin	negative	0.821	0.125	0.054
rammed	negative	0.775	0.21	0.015
'sat\'s'	neutral	0.205	0.431	0.365
cliffs	neutral	0.09	0.691	0.22
sarah	positive	0.202	0.289	0.509
sarap	positive	0.065	0.425	0.51
cũng	negative	0.46	0.419	0.122
@paul_hartrick	positive	0.074	0.337	0.589
contingent	neutral	0.054	0.755	0.191
ceviche	neutral	0.072	0.81	0.117
semester	neutral	0.05	0.815	0.135
millvina	neutral	0.292	0.666	0.042
reorganizing	neutral	0.161	0.761	0.078
@flowersophy	positive	0.087	0.06	0.853
@melvolner	neutral	0.024	0.874	0.102
nowww	neutral	0.273	0.435	0.292
@looby_loo	neutral	0.108	0.464	0.428
@nateflynn	positive	0.124	0.095	0.782
@naxos	positive	0.313	0.187	0.5
gurus	neutral	0.147	0.641	0.212
@laurakim123	positive	0.029	0.165	0.806
@ms_cornwall	positive	0.073	0.18	0.747
@showtime757	negative	0.727	0.158	0.115
'life\'s'	positive	0.142	0.317	0.541
@pauliniunia	neutral	0.339	0.572	0.089
fantasmic	positive	0.214	0.33	0.456
correcting	negative	0.549	0.161	0.291
killzone	positive	0.215	0.37	0.415
@karina_escobar	neutral	0.127	0.68	0.193
somewhat	positive	0.417	0.063	0.52
@shagreenxo	positive	0.056	0.373	0.571
customized	neutral	0.101	0.558	0.34
ahhhhhhhhhhhhhhhh	negative	0.697	0.03	0.273
glasto	neutral	0.038	0.749	0.213
powers	neutral	0.295	0.427	0.279
kroq	negative	0.498	0.338	0.164
revisions	neutral	0.23	0.484	0.285
bedrest	neutral	0.331	0.589	0.08
!!!.....	neutral	0.388	0.516	0.096
@twebbstack	negative	0.452	0.34	0.209
emery	neutral	0.196	0.691	0.113
krub	positive	0.037	0.268	0.695
@preshit	positive	0.174	0.112	0.714
extreme	negative	0.582	0.199	0.219
feathered	negative	0.53	0.338	0.132
toooooooo	negative	0.497	0.227	0.276
krys	neutral	0.018	0.687	0.295
@bersheba	positive	0.005	0.108	0.887
bigger	positive	0.198	0.276	0.526
officers	neutral	0.15	0.804	0.045
@hot2definc	negative	0.462	0.383	0.155
'secret\'s'	positive	0.235	0.074	0.692
laguna	neutral	0.326	0.483	0.191
suffocated	negative	0.924	0.051	0.025
noway	negative	0.518	0.073	0.409
bye-bye	neutral	0.225	0.589	0.186
sappy	negative	0.815	0.069	0.116
biggie	negative	0.492	0.293	0.215
satan	positive	0.308	0.176	0.516
satay	neutral	0.063	0.78	0.158
'did\'t'	negative	0.434	0.422	0.143
karina	neutral	0.068	0.713	0.219
@keepinupwkris	positive	0.064	0.19	0.746
versatile	positive	0.23	0.084	0.686
@yungceo	neutral	0.334	0.368	0.298
weller	neutral	0.156	0.577	0.267
lakehouse	neutral	0.185	0.616	0.199
wolfram|alpha	negative	0.432	0.37	0.198
guten	neutral	0.079	0.595	0.327
redirects	negative	0.841	0.116	0.042
wellll	neutral	0.148	0.559	0.294
@kiruba	neutral	0.172	0.431	0.397
@claireliz81	negative	0.395	0.306	0.299
rescuing	neutral	0.303	0.598	0.098
@simplowdfan	positive	0.14	0.379	0.481
<-----	positive	0.149	0.321	0.53
@coy0te	positive	0.164	0.301	0.535
comeing	neutral	0.056	0.734	0.21
limerick	neutral	0.363	0.485	0.153
freebie	positive	0.003	0.341	0.656
centos	neutral	0.02	0.935	0.045
centro	neutral	0.063	0.698	0.239
$1500	neutral	0.069	0.607	0.324
raincheck	neutral	0.466	0.503	0.032
centre	neutral	0.083	0.738	0.179
sassy	negative	0.48	0.15	0.37
@katheesue	positive	0.087	0.406	0.507
@gopalo	positive	0.11	0.128	0.762
kthx	neutral	0.3	0.443	0.257
@purplelyna	neutral	0.204	0.43	0.365
@onchmovement	positive	0.149	0.112	0.739
sinigang	neutral	0.06	0.85	0.09
@cocotteloup	positive	0.132	0.157	0.71
brings	positive	0.072	0.263	0.666
dwight	neutral	0.065	0.691	0.245
whereas	neutral	0.178	0.624	0.198
sasha	neutral	0.067	0.634	0.298
boooooooo	negative	0.784	0.147	0.069
unprofessional	negative	0.758	0.066	0.176
twitching	negative	0.661	0.321	0.018
flavours	neutral	0.033	0.719	0.248
@thekatvond	positive	0.072	0.143	0.785
glands	negative	0.494	0.477	0.029
@missshonah	neutral	0.096	0.488	0.415
@stewartkris	positive	0.185	0.125	0.69
timmies	neutral	0.039	0.681	0.28
@jumpnegative	neutral	0.339	0.352	0.309
@knowsnotmuch	neutral	0.287	0.466	0.247
texts	negative	0.597	0.354	0.049
textt	negative	0.535	0.266	0.199
diane	neutral	0.01	0.739	0.252
3-hour	negative	0.526	0.396	0.078
diana	neutral	0.044	0.768	0.188
@writesfortea	positive	0.231	0.195	0.574
modelling	neutral	0.021	0.68	0.299
@steamrunner	neutral	0.237	0.645	0.118
kuan	neutral	0.02	0.847	0.134
@kirtib	positive	0.089	0.446	0.465
kuch	neutral	0.182	0.733	0.085
gusta	negative	0.916	0.055	0.029
skeeter	neutral	0.122	0.813	0.064
@kaushal	positive	0.009	0.315	0.676
texxt	positive	0.386	0.176	0.438
saved	negative	0.592	0.223	0.185
#coffeeclub	positive	0.089	0.184	0.728
nephews	neutral	0.27	0.434	0.296
saves	positive	0.234	0.228	0.539
didja	positive	0.137	0.381	0.482
fantasies	neutral	0.428	0.443	0.128
coulda	neutral	0.275	0.59	0.135
couldn	neutral	0.364	0.625	0.012
kung	neutral	0.277	0.66	0.063
wrote	neutral	0.148	0.475	0.377
dancefloor	neutral	0.115	0.848	0.038
diddy	positive	0.185	0.255	0.56
kush	neutral	0.208	0.679	0.113
kurt	neutral	0.068	0.75	0.182
olympics	neutral	0.094	0.649	0.256
'archie\'s'	negative	0.488	0.362	0.151
munchkin	neutral	0.386	0.412	0.203
@hanastephenson	positive	0.034	0.252	0.714
@sarahwv	positive	0.187	0.245	0.568
savin	neutral	0.032	0.86	0.108
kuya	neutral	0.054	0.695	0.25
£10	neutral	0.115	0.699	0.186
£15	neutral	0.029	0.658	0.313
'where\'d'	neutral	0.365	0.479	0.155
'where\'s'	neutral	0.17	0.5	0.33
£20	neutral	0.129	0.556	0.314
@lovepeaceunity	positive	0.001	0.21	0.788
rochelle	neutral	0.01	0.656	0.334
£30	neutral	0.169	0.632	0.198
£35	neutral	0.323	0.399	0.278
'guy\'s'	neutral	0.366	0.409	0.225
£40	neutral	0.085	0.608	0.307
£50	neutral	0.255	0.625	0.12
johnathan	neutral	0.21	0.683	0.108
£60	neutral	0.195	0.488	0.316
@ambercadabra	positive	0.038	0.272	0.69
@adammshankman	positive	0.026	0.119	0.854
£80	neutral	0.123	0.705	0.172
@bubble_gum_xox	neutral	0.34	0.402	0.258
fluently	neutral	0.013	0.692	0.294
didnt	negative	0.598	0.359	0.043
necessarily	positive	0.088	0.446	0.466
i´ll	neutral	0.044	0.5	0.456
@scotmckay	neutral	0.053	0.52	0.427
guurl	positive	0.021	0.095	0.885
saudi	neutral	0.213	0.564	0.223
upstate	neutral	0.017	0.814	0.168
ordering	neutral	0.212	0.602	0.185
@erin82883	negative	0.472	0.178	0.35
babycakes	positive	0.24	0.338	0.422
@nicharry	positive	0.243	0.106	0.652
saula	neutral	0.037	0.66	0.304
@lizluvsjk	positive	0.163	0.328	0.509
i´ve	neutral	0.187	0.426	0.387
airfrance	negative	0.632	0.333	0.035
vermont	negative	0.394	0.366	0.24
@sunshineekiid	neutral	0.073	0.653	0.274
senayan	neutral	0.015	0.899	0.086
supose	negative	0.425	0.412	0.163
ramsay	neutral	0.146	0.688	0.166
@wheatysgirl	neutral	0.006	0.59	0.404
jellyfish	negative	0.728	0.241	0.031
booooored	negative	0.748	0.167	0.085
ramsey	neutral	0.233	0.653	0.114
@svn8teen	neutral	0.066	0.48	0.454
profiles	neutral	0.215	0.588	0.197
emily	neutral	0.086	0.708	0.206
dicks	negative	0.854	0.099	0.047
@valpalbby	neutral	0.045	0.611	0.345
rewrite	neutral	0.169	0.788	0.044
@preternareviews	neutral	0.409	0.47	0.121
davids	neutral	0.369	0.402	0.23
@louise__	neutral	0.425	0.499	0.076
deliciously	positive	0.405	0.018	0.576
@ahoova	positive	0.015	0.42	0.566
kwod	negative	0.598	0.248	0.154
kwon	neutral	0.278	0.609	0.113
liberal	neutral	0.107	0.516	0.377
davies	neutral	0.146	0.637	0.217
terabithia	negative	0.803	0.17	0.027
@zyber17	negative	0.48	0.112	0.408
methinks	neutral	0.164	0.54	0.295
brissy	neutral	0.238	0.48	0.283
crutches	neutral	0.479	0.503	0.018
strands	neutral	0.045	0.938	0.017
davina	positive	0.046	0.207	0.746
@redmummy	positive	0.273	0.219	0.508
@marleyuk	negative	0.43	0.212	0.358
@krisallenmusic	positive	0.011	0.207	0.782
sawwy	negative	0.81	0.139	0.051
comparisons	neutral	0.085	0.728	0.187
butterscotch	neutral	0.021	0.707	0.272
colombia	positive	0.304	0.194	0.502
doesn’t	neutral	0.027	0.827	0.146
emmas	neutral	0.42	0.529	0.052
scotsman	neutral	0.182	0.752	0.066
@mcgiff	positive	0.044	0.217	0.739
comeeee	negative	0.407	0.375	0.218
@ian_watkins	positive	0.021	0.481	0.498
@iammaxathotspot	neutral	0.043	0.563	0.394
wonderland	negative	0.444	0.36	0.197
september	neutral	0.158	0.649	0.193
http://threeter.devv.com	positive	0.056	0.442	0.502
@michaelmknight	positive	0.012	0.486	0.502
degrassi	negative	0.482	0.411	0.107
@actionchick	positive	0.011	0.063	0.926
'say\'s'	neutral	0.11	0.746	0.143
diego	neutral	0.185	0.418	0.397
chik-fil-a	positive	0.044	0.345	0.611
@jaredsiegel	positive	0.001	0.167	0.832
robert	neutral	0.147	0.708	0.145
@pennjillette	positive	0.069	0.261	0.669
@saz_xox	neutral	0.368	0.429	0.203
@tjp5082	negative	0.417	0.401	0.182
reallyyyy	negative	0.42	0.274	0.307
@pranaydewan	positive	0.013	0.297	0.69
@lejunkdrawer	negative	0.44	0.276	0.284
http://bit.ly/1864ml	positive	0.086	0.264	0.65
@snowleopardess	neutral	0.032	0.659	0.309
#swineflu	negative	0.776	0.159	0.066
@hotspur_1882	positive	0.016	0.304	0.68
@jen004	positive	0.052	0.335	0.613
diets	neutral	0.202	0.69	0.109
kyla	neutral	0.177	0.562	0.261
kyle	neutral	0.097	0.77	0.133
@neszlifeasmcrmy	positive	0.116	0.39	0.494
@mileydemselena	positive	0.283	0.192	0.525
arthur	neutral	0.057	0.772	0.17
blaaaah	negative	0.793	0.122	0.085
currently	neutral	0.105	0.717	0.178
@pushplaycj	positive	0.078	0.319	0.603
kyra	neutral	0.039	0.798	0.163
cultural	neutral	0.038	0.635	0.327
robbed	negative	0.839	0.068	0.093
kyte	neutral	0.275	0.549	0.176
foxtel	negative	0.516	0.45	0.034
mcgregor	neutral	0.055	0.606	0.339
cultures	neutral	0.087	0.534	0.379
@thisisscoman	positive	0.265	0.18	0.554
coupla	negative	0.526	0.375	0.099
postsecret	neutral	0.141	0.638	0.222
@mcflo14	positive	0.286	0.317	0.398
@marykateolsen7	positive	0.244	0.328	0.428
@sabrinaxx	negative	0.552	0.419	0.029
@marykateolsen9	positive	0.02	0.464	0.516
http://ustre.am/3ndh	neutral	0.088	0.638	0.274
other	neutral	0.174	0.764	0.062
@missgiggly	positive	0.146	0.138	0.716
pigging	negative	0.561	0.367	0.072
robbie	neutral	0.13	0.695	0.175
at�	neutral	0.198	0.495	0.307
'brit\'s'	neutral	0.219	0.669	0.112
@error505	positive	0.031	0.431	0.538
mother	neutral	0.299	0.353	0.348
@rickoshea	positive	0.196	0.388	0.416
'lexi\'s'	positive	0.084	0.427	0.489
#squarespace	negative	0.461	0.185	0.354
nissan	neutral	0.095	0.717	0.188
lillies	positive	0.187	0.254	0.559
@chet_cannon	neutral	0.077	0.477	0.446
guyys	positive	0.032	0.265	0.703
@thebrandicyrus	positive	0.118	0.208	0.674
digit	neutral	0.03	0.798	0.172
sayin	negative	0.4	0.354	0.247
@kjgriffin18	positive	0.093	0.368	0.539
guyss	positive	0.129	0.387	0.484
diggs	neutral	0.014	0.74	0.247
3000th	positive	0.107	0.246	0.647
@jimmy_poodle	positive	0.335	0.146	0.519
photoshop	neutral	0.062	0.787	0.151
trafford	neutral	0.031	0.706	0.263
digby	positive	0.104	0.397	0.499
county	neutral	0.046	0.787	0.167
armando	neutral	0.123	0.782	0.095
@wolfchild59	negative	0.64	0.078	0.282
comedic	positive	0.108	0.393	0.499
piggies	negative	0.841	0.119	0.041
@zpush	negative	0.446	0.229	0.324
noisey	negative	0.936	0.063	0.001
@shybutflyy	neutral	0.428	0.522	0.05
dealers	neutral	0.42	0.534	0.046
moldova	negative	0.77	0.033	0.197
@yashved_2890	neutral	0.164	0.494	0.342
kingston	neutral	0.123	0.734	0.143
hubbies	positive	0.062	0.284	0.655
muchhhh	negative	0.509	0.06	0.431
durring	negative	0.441	0.294	0.266
@trswift	negative	0.465	0.359	0.176
@werewolfseth	positive	0.255	0.293	0.452
motion	neutral	0.345	0.559	0.097
ch�	neutral	0.119	0.864	0.018
matchbox	negative	0.357	0.305	0.338
weeping	neutral	0.372	0.498	0.13
boreeed	negative	0.691	0.259	0.05
empty	negative	0.531	0.347	0.121
thieves	negative	0.707	0.267	0.026
@sharontweet	positive	0.013	0.319	0.668
@rockingla	positive	0.114	0.398	0.488
novemeber	neutral	0.107	0.619	0.274
rooting	positive	0.155	0.209	0.636
hilary	neutral	0.066	0.595	0.339
@therealdemi	positive	0.006	0.406	0.587
@the8333696	positive	0.267	0.212	0.521
workie	negative	0.538	0.41	0.052
workin	negative	0.381	0.356	0.263
'exam\'s'	neutral	0.141	0.696	0.164
disney	neutral	0.121	0.492	0.388
#doyourememberwhen	negative	0.434	0.299	0.267
doingg	neutral	0.226	0.426	0.348
bagels	neutral	0.063	0.816	0.121
goodnight	neutral	0.121	0.485	0.394
'kyle\'s'	neutral	0.045	0.685	0.269
ng�y	neutral	0.085	0.914	0.001
#awaresg	positive	0.228	0.381	0.391
seasons	neutral	0.093	0.753	0.154
boreddd	negative	0.56	0.396	0.043
nighters	negative	0.424	0.32	0.255
http://bit.ly/h6rnb	positive	0	0.447	0.553
workkk	negative	0.525	0.309	0.166
emoji	neutral	0.4	0.463	0.137
edward	neutral	0.119	0.754	0.126
forgotton	positive	0.104	0.392	0.504
@freakgoddess	positive	0.09	0.367	0.543
@austinslide	positive	0.257	0.248	0.495
worlds	neutral	0.33	0.467	0.203
cedar	neutral	0.086	0.855	0.059
eyeglasses	neutral	0.015	0.852	0.133
@adamsconsulting	positive	0.006	0.096	0.898
'throat\'s'	negative	0.585	0.363	0.053
batchmates	positive	0.007	0.416	0.577
@divinebubbles	negative	0.704	0.134	0.162
wouldnt	negative	0.442	0.314	0.244
@colleenlindsay	positive	0.026	0.277	0.697
nathan	neutral	0.075	0.759	0.166
@shamim86	positive	0.148	0.42	0.432
anywere	neutral	0.068	0.88	0.051
@katcal	neutral	0.13	0.75	0.12
http://bit.ly/be9nb	positive	0.053	0.35	0.597
passionfruit	neutral	0.029	0.915	0.056
fightstar	neutral	0.302	0.614	0.083
'la\'s'	positive	0.205	0.122	0.673
@littleyellowjen	neutral	0.145	0.653	0.202
goooodnight	positive	0.104	0.379	0.517
j-town	negative	0.515	0.414	0.071
haaaate	negative	0.896	0.08	0.024
dilla	neutral	0.04	0.91	0.05
examss	neutral	0.292	0.364	0.344
suposed	neutral	0.365	0.549	0.086
grandads	neutral	0.238	0.529	0.233
examen	neutral	0.156	0.628	0.216
butttt	negative	0.528	0.313	0.159
baaad	negative	0.734	0.212	0.054
baaah	negative	0.706	0.25	0.044
baack	negative	0.398	0.397	0.205
@vodafonenz	positive	0.163	0.383	0.454
dimes	negative	0.604	0.069	0.326
@dhewlett	positive	0.038	0.353	0.608
@soospecial	neutral	0.185	0.524	0.292
@bronte_saurus	negative	0.639	0.115	0.246
@missnickyhilton	positive	0.173	0.125	0.703
@mwtsnx	positive	0.091	0.393	0.516
pleasee	positive	0.104	0.317	0.579
@doodledawne	positive	0.041	0.271	0.688
backfired	negative	0.872	0.103	0.025
tweeeet	positive	0.1	0.433	0.468
@vodafoneuk	positive	0.286	0.127	0.588
@xwidep	neutral	0.099	0.681	0.22
berfday	positive	0.049	0.229	0.722
roadie	neutral	0.186	0.494	0.319
'collector\'s'	negative	0.532	0.359	0.109
m�nh	neutral	0.113	0.886	0.001
hobbit	neutral	0.382	0.571	0.047
tweeets	neutral	0.472	0.49	0.038
@darrenroberts	positive	0.071	0.458	0.471
rushing	neutral	0.241	0.605	0.154
swarovski	neutral	0.015	0.891	0.094
nation	neutral	0.127	0.469	0.404
toshiba	neutral	0.201	0.523	0.276
@kpereira	positive	0.03	0.256	0.714
freddie	neutral	0.11	0.701	0.189
melina	positive	0.172	0.347	0.482
myspaceee	negative	0.489	0.318	0.193
cement	neutral	0.379	0.589	0.032
spiders	negative	0.927	0.052	0.02
@laurensbite	positive	0.28	0.265	0.454
'din\'t'	neutral	0.193	0.649	0.158
dildo	neutral	0.337	0.649	0.015
@zoziekins	negative	0.754	0.069	0.176
@stephengonzalez	positive	0.003	0.125	0.872
@jaylink_	positive	0.14	0.303	0.557
@jordanmccoy	positive	0.103	0.147	0.75
wouldve	negative	0.441	0.426	0.133
gi�	neutral	0.196	0.791	0.013
hobart	neutral	0.323	0.438	0.24
eurosport	neutral	0.048	0.688	0.264
#frenchopen	neutral	0.179	0.49	0.331
@garyvee	positive	0.024	0.227	0.749
multitasking	neutral	0.229	0.428	0.343
destinations	neutral	0.259	0.45	0.291
@robromoni	positive	0.297	0.141	0.562
disini	neutral	0.012	0.742	0.245
lacy	neutral	0.066	0.797	0.136
@_hayles	neutral	0.129	0.548	0.323
boreing	negative	0.903	0.05	0.048
lace	neutral	0.087	0.747	0.166
labs	neutral	0.199	0.681	0.12
adwords	neutral	0.201	0.632	0.167
laff	negative	0.718	0.118	0.164
'lc\'s'	neutral	0.308	0.677	0.014
#fixreplies	negative	0.438	0.281	0.281
lads	neutral	0.042	0.543	0.415
lagu	neutral	0.045	0.848	0.106
lagi	neutral	0.032	0.761	0.207
@jongirl79	positive	0.29	0.264	0.446
laid	negative	0.499	0.391	0.11
lain	neutral	0.025	0.762	0.213
renovating	positive	0.08	0.407	0.513
lala	neutral	0.044	0.636	0.32
dinos	negative	0.651	0.276	0.073
lani	negative	0.609	0.204	0.187
lana	neutral	0.224	0.662	0.114
¬_¬	negative	0.568	0.354	0.078
lang	neutral	0.141	0.608	0.251
lamo	positive	0.267	0.282	0.451
babii	neutral	0.265	0.42	0.316
laps	neutral	0.073	0.815	0.112
championship	positive	0.065	0.444	0.491
lars	neutral	0.091	0.833	0.076
lara	neutral	0.057	0.731	0.212
lark	neutral	0.403	0.48	0.117
rescheduling	neutral	0.15	0.834	0.016
@tessaaaaah	negative	0.537	0.24	0.223
lata	neutral	0.194	0.577	0.229
last	neutral	0.333	0.622	0.046
cooooool	negative	0.453	0.266	0.281
cooooold	negative	0.707	0.226	0.068
granddad	positive	0.277	0.246	0.477
laws	neutral	0.233	0.683	0.084
@mikebailey01	positive	0.055	0.229	0.717
lawd	negative	0.635	0.34	0.024
laze	neutral	0.204	0.652	0.144
layn	negative	0.556	0.437	0.007
lays	positive	0.315	0.296	0.389
@sorcha69	positive	0.213	0.322	0.465
grandfather	negative	0.385	0.282	0.332
woodwork	neutral	0.05	0.922	0.028
@asfaq	positive	0.093	0.174	0.733
babys	neutral	0.38	0.429	0.19
babyy	positive	0.212	0.329	0.459
yahooo	positive	0.009	0.317	0.674
@emilylovesglee	positive	0.165	0.299	0.537
lolololol	neutral	0.174	0.627	0.199
mary-kate	neutral	0.004	0.71	0.286
@aneezd	negative	0.594	0.306	0.1
@bethharperwalsh	negative	0.457	0.229	0.314
malfunction	neutral	0.289	0.649	0.062
orthodontist	neutral	0.188	0.757	0.055
@starslay3r	positive	0.063	0.106	0.831
cervical	negative	0.49	0.264	0.246
shavuot	positive	0.009	0.495	0.496
babby	positive	0.216	0.283	0.501
@morphiine	neutral	0.164	0.528	0.308
dinna	neutral	0.065	0.489	0.446
babes	positive	0.202	0.251	0.547
babez	positive	0.059	0.365	0.575
babee	positive	0.385	0.153	0.463
'y\'know'	neutral	0.122	0.631	0.247
@thethirdrat	neutral	0.079	0.506	0.415
leprechaun	negative	0.637	0.274	0.089
babay	positive	0.108	0.423	0.468
@tubilino	positive	0.091	0.327	0.582
ljubljana	neutral	0.388	0.511	0.1
lcbo	neutral	0.431	0.516	0.053
xxxxxxxxxx	positive	0.015	0.366	0.619
@claytonmorris	positive	0.006	0.213	0.781
musicmonday	positive	0.185	0.347	0.468
repaired	negative	0.605	0.333	0.063
indesign	neutral	0.157	0.706	0.136
@tallespin	neutral	0.314	0.596	0.089
@scobleizer	neutral	0.009	0.542	0.449
@dannymcfly	positive	0.019	0.247	0.734
@kat_la	positive	0.097	0.446	0.457
@kat_lb	positive	0.337	0.139	0.524
@sevgli	neutral	0.051	0.633	0.315
tailgating	neutral	0.216	0.504	0.28
slammed	neutral	0.484	0.511	0.005
@jayce_kay	neutral	0.088	0.705	0.207
'work\'s'	neutral	0.454	0.463	0.084
bagged	neutral	0.291	0.561	0.148
@bobtheostrich	negative	0.431	0.272	0.298
@aileen2u2	positive	0.097	0.17	0.734
@pw_official	negative	0.574	0.23	0.196
@freakonomy	neutral	0.17	0.567	0.263
emarosa	neutral	0.16	0.797	0.043
@liturgy	positive	0.03	0.188	0.782
scrubbing	neutral	0.14	0.809	0.051
@secondhandjohn	positive	0.015	0.382	0.604
