WORD_NAME	label	negative	neutral	positive
spinelli	neutral	0.307	0.363	0.33
duties	neutral	0.165	0.611	0.223
falta	neutral	0.2	0.724	0.077
@user380541	neutral	0.204	0.692	0.104
@user380545	positive	0.01	0.371	0.619
falow	negative	0.467	0.27	0.264
falou	neutral	0.156	0.822	0.022
falln	negative	0.812	0.117	0.071
@user723646	negative	0.748	0.185	0.067
famil	neutral	0.078	0.811	0.111
famer	neutral	0.225	0.407	0.367
famed	neutral	0.09	0.797	0.113
comparing	neutral	0.094	0.509	0.397
20-inch	neutral	0.206	0.707	0.087
money-making	neutral	0.027	0.584	0.389
@user277452	positive	0.12	0.267	0.613
@user277443	neutral	0.068	0.736	0.195
http://kiwcfm.com/	neutral	0.377	0.581	0.043
sokule	neutral	0.306	0.512	0.182
ashlyn	neutral	0.129	0.729	0.143
tadinho	negative	0.562	0.41	0.027
w/other	neutral	0.025	0.617	0.358
nichkhun	positive	0.29	0.154	0.556
collaborations	neutral	0.024	0.59	0.386
fanta	neutral	0.186	0.535	0.279
newton-john	neutral	0.201	0.548	0.251
skincare	positive	0.015	0.457	0.528
fanny	neutral	0.374	0.528	0.098
winked	neutral	0.436	0.532	0.033
@user277382	neutral	0.11	0.486	0.404
@user277381	neutral	0.132	0.621	0.247
receives	positive	0.204	0.153	0.643
believes	positive	0.368	0.151	0.481
believer	positive	0.316	0.317	0.367
believed	negative	0.423	0.327	0.25
#penguins	negative	0.735	0.097	0.168
ashlee	neutral	0.239	0.514	0.247
believin	negative	0.941	0.04	0.018
ashley	neutral	0.021	0.522	0.456
odeia	neutral	0.35	0.555	0.096
odeio	neutral	0.247	0.702	0.051
@user619840	positive	0.001	0.391	0.608
fared	neutral	0.255	0.677	0.067
farah	positive	0.02	0.413	0.568
lindsey	neutral	0.098	0.595	0.307
odeon	positive	0.013	0.42	0.568
lindsay	neutral	0.127	0.586	0.287
odesk	neutral	0.005	0.598	0.398
'20,000'	neutral	0.017	0.783	0.2
@user619851	negative	0.552	0.216	0.232
frumpy	negative	0.523	0.408	0.069
rainforest	neutral	0.14	0.597	0.263
farts	negative	0.485	0.471	0.044
farsi	neutral	0.296	0.681	0.023
@user277295	positive	0.049	0.123	0.827
reopen	neutral	0.102	0.71	0.187
lehman	negative	0.628	0.218	0.154
farms	neutral	0.103	0.622	0.275
faris	positive	0.131	0.434	0.435
hennessey	neutral	0.349	0.501	0.15
odeee	negative	0.611	0.288	0.102
faria	neutral	0.195	0.714	0.091
fares	neutral	0.209	0.557	0.235
fargo	neutral	0.262	0.466	0.272
contestant	neutral	0.061	0.675	0.264
@user619949	neutral	0.346	0.53	0.124
getaway	neutral	0.022	0.728	0.25
canadian	neutral	0.112	0.588	0.301
doubters	negative	0.618	0.041	0.34
nyampe	neutral	0.051	0.891	0.058
@user277135	positive	0.069	0.361	0.571
@user277139	neutral	0.154	0.505	0.34
@user4688370	negative	0.516	0.299	0.185
sister-in-law	positive	0.242	0.326	0.432
aowww	positive	0.119	0.206	0.675
disneyland	neutral	0.061	0.529	0.411
tracklist	neutral	0.151	0.589	0.26
marvins	neutral	0.375	0.533	0.092
fates	negative	0.811	0.119	0.071
expecially	neutral	0.151	0.498	0.352
winery	neutral	0.02	0.747	0.233
toolbox	neutral	0.023	0.719	0.258
accessibility	neutral	0.022	0.606	0.372
recycle	neutral	0.088	0.703	0.209
cook-off	negative	0.503	0.449	0.048
seesmic	neutral	0.151	0.563	0.286
-robert	positive	0.057	0.455	0.488
sweeties	positive	0.178	0.182	0.641
@user277049	neutral	0.019	0.608	0.372
fatso	neutral	0.384	0.568	0.048
heartbreakers	neutral	0.29	0.642	0.068
@user277094	negative	0.439	0.435	0.126
#damntheman	positive	0.053	0.08	0.867
@user448875	neutral	0.069	0.727	0.204
@user448824	neutral	0.125	0.759	0.116
islands	neutral	0.051	0.734	0.215
winger	positive	0.12	0.403	0.476
fergies	negative	0.354	0.349	0.296
farve	neutral	0.22	0.584	0.196
#kindle	neutral	0.11	0.733	0.157
haircut	neutral	0.199	0.668	0.134
pregnancies	negative	0.779	0.116	0.105
nyanyi	neutral	0.005	0.671	0.324
@user448798	neutral	0.149	0.687	0.164
toolbar	positive	0.012	0.372	0.616
firsts	positive	0.021	0.337	0.642
fasho	neutral	0.32	0.361	0.318
@user448709	neutral	0.282	0.496	0.222
misspelled	negative	0.519	0.324	0.157
sucha	negative	0.532	0.233	0.235
lehigh	neutral	0.21	0.697	0.092
faves	positive	0.119	0.341	0.541
islamic	negative	0.565	0.244	0.191
faved	neutral	0.029	0.721	0.251
suchh	negative	0.508	0.422	0.07
sucka	negative	0.79	0.166	0.045
suckk	negative	0.635	0.268	0.096
suckz	negative	0.584	0.377	0.039
fruits	neutral	0.024	0.821	0.155
fruity	negative	0.441	0.433	0.126
carryin	neutral	0.108	0.782	0.111
spacecraft	neutral	0.198	0.755	0.047
rodrigues	neutral	0.304	0.567	0.129
rodriguez	neutral	0.139	0.546	0.315
favre	negative	0.431	0.385	0.184
@user448621	positive	0.092	0.396	0.513
connections	negative	0.404	0.295	0.3
oding	negative	0.776	0.173	0.051
celular	neutral	0.171	0.767	0.061
favor	neutral	0.073	0.633	0.294
fundraiser	neutral	0.003	0.738	0.259
courting	positive	0.191	0.311	0.498
leopold	neutral	0.365	0.536	0.099
subir	neutral	0.205	0.743	0.051
suara	neutral	0.027	0.882	0.091
windscreen	neutral	0.075	0.875	0.05
@user448578	neutral	0.195	0.612	0.193
wining	positive	0.105	0.268	0.627
beetroots	negative	0.768	0.057	0.175
faulk	negative	0.641	0.301	0.059
molesting	negative	0.59	0.35	0.061
@user276948	negative	0.438	0.421	0.141
suede	neutral	0.054	0.834	0.112
@user551530	positive	0.308	0.13	0.561
@user276981	neutral	0.127	0.678	0.195
faxes	neutral	0.129	0.823	0.048
suess	neutral	0.122	0.658	0.22
faxed	negative	0.526	0.415	0.059
suena	negative	0.48	0.285	0.236
#sowhat	neutral	0.177	0.703	0.12
@user276845	positive	0.231	0.159	0.61
15-20	neutral	0.115	0.807	0.078
@user276837	neutral	0.227	0.515	0.258
15-17	neutral	0.017	0.551	0.432
manford	negative	0.405	0.392	0.203
@user551639	neutral	0.049	0.906	0.046
sudah	neutral	0.062	0.731	0.208
sudan	negative	0.671	0.145	0.185
converts	positive	0.396	0.148	0.456
#tennessee	positive	0.264	0.328	0.408
@user276925	negative	0.549	0.263	0.188
@user276904	negative	0.78	0.107	0.113
sweetest	positive	0.184	0.125	0.691
@user276729	neutral	0.241	0.441	0.318
@user276774	neutral	0.201	0.583	0.216
lizard	neutral	0.361	0.599	0.041
@user276780	neutral	0.116	0.542	0.342
@user276786	positive	0.284	0.214	0.502
@user276796	neutral	0.026	0.713	0.261
modmyi	neutral	0.169	0.468	0.363
activate	positive	0.123	0.347	0.53
outnumbered	negative	0.614	0.2	0.186
fazer	neutral	0.148	0.815	0.038
#causandonanight	neutral	0.367	0.467	0.166
homeboys	negative	0.533	0.29	0.177
ryanair	neutral	0.155	0.659	0.186
suggs	negative	0.706	0.098	0.196
psychedelic	neutral	0.091	0.8	0.11
@user276815	neutral	0.135	0.444	0.422
fayre	neutral	0.017	0.538	0.445
apaan	neutral	0.14	0.824	0.036
@user276613	positive	0.039	0.076	0.886
dharma	neutral	0.186	0.625	0.189
ponytails	neutral	0.242	0.745	0.013
#killurself	negative	0.666	0.301	0.033
resultado	neutral	0.024	0.815	0.161
@user276630	positive	0.015	0.034	0.951
http://tinyurl.com/ydzujs3	negative	0.649	0.198	0.153
@user276639	negative	0.362	0.34	0.298
handout	neutral	0.115	0.611	0.274
faygo	neutral	0.239	0.652	0.109
#snuggie	neutral	0.056	0.731	0.212
apart	negative	0.504	0.206	0.29
dumpling	neutral	0.021	0.708	0.27
changes	negative	0.478	0.335	0.187
t-mobile	neutral	0.145	0.666	0.189
kidnapping	negative	0.877	0.086	0.037
15/12	neutral	0.085	0.875	0.04
#madness	positive	0.018	0.314	0.668
changin	negative	0.476	0.454	0.07
#weight	negative	0.435	0.412	0.153
suing	negative	0.587	0.219	0.194
@user276576	neutral	0.051	0.799	0.149
homebrew	neutral	0.059	0.67	0.272
suits	negative	0.457	0.282	0.261
guardian.co.uk:	negative	0.858	0.076	0.065
@user276597	neutral	0.019	0.557	0.424
outchea	neutral	0.156	0.545	0.299
@user619170	neutral	0.352	0.545	0.103
hoboken	neutral	0.041	0.834	0.125
15000	neutral	0.018	0.803	0.179
councils	negative	0.487	0.349	0.165
#confessions	neutral	0.187	0.753	0.06
#myworld	neutral	0.005	0.759	0.236
autocorrect	negative	0.548	0.41	0.042
problemm	positive	0.228	0.293	0.479
problema	neutral	0.298	0.672	0.029
problemo	positive	0.121	0.403	0.476
adopters	neutral	0.072	0.548	0.38
@user619281	neutral	0.162	0.426	0.412
@user2155710	positive	0.001	0.289	0.71
whenever	neutral	0.125	0.755	0.12
sandiego	neutral	0.045	0.698	0.258
connecticut	neutral	0.279	0.463	0.258
150th	neutral	0.019	0.78	0.202
handset	neutral	0.025	0.498	0.477
heterosexual	positive	0.442	0.109	0.449
amplified	negative	0.398	0.367	0.235
osteoporosis	negative	0.726	0.216	0.058
amplifier	neutral	0.058	0.693	0.249
@user276344	positive	0.156	0.315	0.529
@user276343	neutral	0.051	0.61	0.339
red-nosed	positive	0.322	0.3	0.378
afterlife	neutral	0.169	0.581	0.249
802.11	neutral	0.075	0.822	0.102
@user276392	neutral	0.357	0.587	0.056
http://www.quantum-radio.net	neutral	0.371	0.577	0.052
4chan	neutral	0.418	0.547	0.035
sum10	neutral	0.323	0.562	0.116
sum1s	neutral	0.36	0.563	0.077
howlin	positive	0.085	0.333	0.582
schuller	negative	0.499	0.183	0.317
#hootsuite	positive	0.052	0.403	0.545
sports-odds.com	neutral	0.004	0.943	0.053
stormtrooper	neutral	0.322	0.656	0.022
http://s1z.us/if.htm	neutral	0.004	0.981	0.015
christopher	neutral	0.071	0.569	0.36
@user276248	neutral	0.304	0.515	0.182
cold/flu	negative	0.552	0.217	0.23
slowing	neutral	0.137	0.682	0.181
sumtn	neutral	0.063	0.878	0.059
aphex	negative	0.568	0.413	0.019
stepsister	neutral	0.456	0.519	0.025
sunda	neutral	0.13	0.649	0.22
moccasins	neutral	0.056	0.807	0.137
industries	neutral	0.063	0.695	0.242
heads-up	neutral	0.028	0.571	0.401
institutions	positive	0.079	0.429	0.492
@user380489	negative	0.453	0.407	0.14
inspirations	positive	0.055	0.462	0.483
!!!!!!!!!!!!!!!!!!!	negative	0.498	0.148	0.354
industrial	neutral	0.116	0.695	0.188
sumin	neutral	0.256	0.677	0.067
sumiu	neutral	0.25	0.731	0.019
sumit	neutral	0.352	0.408	0.24
carseat	neutral	0.189	0.802	0.009
hottttt	positive	0.206	0.276	0.519
blackfriday	neutral	0.054	0.549	0.396
summa	neutral	0.167	0.781	0.052
ellington	positive	0.121	0.339	0.539
adopting	positive	0.061	0.461	0.479
handing	neutral	0.18	0.757	0.063
adoptive	neutral	0.32	0.465	0.215
@user380323	positive	0.008	0.451	0.54
@user986491	neutral	0.026	0.567	0.406
howell	neutral	0.113	0.623	0.264
fball	neutral	0.072	0.753	0.176
sulks	negative	0.928	0.046	0.026
sotomayor	positive	0.044	0.443	0.513
bit.ly/18cuei	neutral	0.451	0.549	0
normandy	neutral	0.197	0.774	0.028
#forex	neutral	0.353	0.465	0.183
@user380168	neutral	0.181	0.47	0.348
@user380167	positive	0.319	0.327	0.355
commerical	neutral	0.273	0.643	0.084
#forum	neutral	0.07	0.617	0.313
tooltip	neutral	0.037	0.714	0.249
sniffling	negative	0.581	0.407	0.012
supastar	neutral	0.211	0.684	0.105
resulting	negative	0.629	0.334	0.037
@user986259	neutral	0.144	0.709	0.148
@user380135	neutral	0.182	0.59	0.228
@user1244616	neutral	0.127	0.437	0.436
@user551042	neutral	0.167	0.572	0.261
@user380034	neutral	0.199	0.578	0.223
everrrrr	positive	0.327	0.049	0.623
bunnies	neutral	0.174	0.668	0.157
handgun	negative	0.707	0.196	0.097
sunni	positive	0.09	0.375	0.535
pa-eod	neutral	0.186	0.464	0.35
activism	neutral	0.312	0.566	0.122
dazzling	positive	0.089	0.186	0.725
launter	neutral	0.066	0.488	0.446
surat	neutral	0.032	0.846	0.123
http://bit.ly/3s4g8u	neutral	0.134	0.518	0.348
sundried	neutral	0.007	0.965	0.029
suree	positive	0.25	0.205	0.545
thunderstorms	neutral	0.087	0.849	0.064
surfs	neutral	0.247	0.599	0.154
girlfriend	neutral	0.33	0.39	0.28
#webradio	positive	0.177	0.262	0.562
ignant	negative	0.908	0.056	0.035
lynnwood	neutral	0.004	0.881	0.116
@user380028	positive	0.227	0.041	0.732
@user551142	negative	0.503	0.422	0.076
howard	neutral	0.137	0.637	0.225
asians	negative	0.632	0.34	0.029
hangover	neutral	0.392	0.469	0.138
@user722986	negative	0.576	0.386	0.038
http://bit.ly/trtm	neutral	0.274	0.584	0.142
replicate	neutral	0.136	0.676	0.187
http://tiny.cc/free3giphone	positive	0.106	0.234	0.66
chandra	neutral	0.048	0.545	0.407
15:45	neutral	0.057	0.888	0.055
#kanye	positive	0.199	0.306	0.495
15:30	neutral	0.019	0.917	0.063
woopwoop	positive	0.027	0.283	0.689
15:05	neutral	0.068	0.853	0.079
15:00	neutral	0.059	0.888	0.053
@user3237186	positive	0.08	0.04	0.879
@user551280	positive	0.057	0.307	0.635
#rihannalive	positive	0.174	0.285	0.541
suppa	negative	0.511	0.049	0.44
suppp	negative	0.511	0.225	0.263
suppo	positive	0.214	0.288	0.498
supra	neutral	0.225	0.633	0.143
pleassee	positive	0.149	0.103	0.748
#yahooin2009	positive	0.222	0.115	0.663
normally	neutral	0.38	0.572	0.048
fergusons	positive	0.048	0.345	0.607
@user1954565	positive	0.263	0.049	0.688
fished	neutral	0.118	0.839	0.043
fishes	negative	0.575	0.287	0.138
fisher	neutral	0.221	0.519	0.26
sutos	neutral	0.021	0.716	0.263
depleted	negative	0.781	0.054	0.165
fishin	neutral	0.273	0.623	0.104
kidnappers	negative	0.542	0.434	0.024
handjob	neutral	0.475	0.499	0.026
howdie	positive	0.111	0.105	0.784
@user551380	negative	0.444	0.349	0.207
subscribed	neutral	0.084	0.677	0.239
subscriber	neutral	0.046	0.594	0.361
asiago	neutral	0.021	0.948	0.031
handbrake	neutral	0.029	0.651	0.32
susah	neutral	0.082	0.876	0.043
susan	neutral	0.162	0.543	0.295
low-carb	neutral	0.026	0.84	0.134
sushi	neutral	0.066	0.741	0.193
susie	positive	0.035	0.395	0.57
handles	neutral	0.351	0.397	0.252
handler	negative	0.51	0.227	0.264
infrared	neutral	0.037	0.808	0.155
actively	neutral	0.137	0.719	0.143
suruh	neutral	0.258	0.692	0.05
handled	negative	0.583	0.288	0.129
handlin	neutral	0.201	0.555	0.244
irresistable	positive	0.471	0.049	0.48
wreaths	neutral	0.043	0.909	0.047
@user551459	neutral	0.404	0.487	0.109
seasonal	neutral	0.039	0.556	0.405
apnea	negative	0.519	0.383	0.099
homenagem	neutral	0.27	0.67	0.06
cancers	negative	0.526	0.388	0.087
appts	neutral	0.027	0.95	0.023
@user988114	positive	0.084	0.302	0.614
#4real	positive	0.391	0.067	0.542
@user449729	positive	0.114	0.416	0.47
@user449735	neutral	0.101	0.812	0.087
saskatchewan	neutral	0.287	0.365	0.348
apoyo	neutral	0.144	0.665	0.19
equinox	neutral	0.212	0.534	0.254
suure	positive	0.159	0.082	0.758
http://tinify.net/m	neutral	0.058	0.915	0.027
http://tinify.net/5	neutral	0.021	0.695	0.284
#ihatewhen	negative	0.757	0.228	0.015
sutra	neutral	0.031	0.604	0.365
@user449690	positive	0.096	0.446	0.457
ecademy	neutral	0.01	0.743	0.247
appli	neutral	0.126	0.477	0.397
fraggle	positive	0.264	0.234	0.502
booing	negative	0.786	0.105	0.109
bachmann	negative	0.651	0.256	0.093
#fredism	positive	0.217	0.114	0.669
alabamas	positive	0.2	0.36	0.44
hopeing	positive	0.252	0.299	0.449
#ladies	neutral	0.321	0.479	0.2
#truthis	neutral	0.343	0.546	0.111
lineman	neutral	0.055	0.657	0.288
boohoo	negative	0.92	0.059	0.021
@user449580	positive	0.117	0.22	0.663
economic	neutral	0.216	0.489	0.295
@user1679970	positive	0.048	0.165	0.788
linemen	negative	0.684	0.105	0.211
@user4080406	neutral	0.048	0.628	0.324
soundcloud	neutral	0.06	0.751	0.188
conglomerate	neutral	0.297	0.63	0.073
ringtone	neutral	0.266	0.557	0.177
registered	neutral	0.061	0.558	0.381
@user449483	positive	0.114	0.41	0.476
maoist	negative	0.607	0.26	0.133
norbert	neutral	0.015	0.692	0.293
@user449463	neutral	0.359	0.513	0.128
april	neutral	0.088	0.704	0.208
a-m-a-z-i-n-g	positive	0.027	0.247	0.727
boogie	neutral	0.406	0.505	0.089
apres	neutral	0.01	0.717	0.273
http://www.pcconnection.com/macbookprogiveaway	neutral	0.285	0.426	0.289
#catholic	negative	0.518	0.188	0.294
#oklahoma	neutral	0.112	0.645	0.243
renews	positive	0.131	0.191	0.678
booger	negative	0.52	0.44	0.04
homebake	neutral	0.026	0.667	0.307
cancion	neutral	0.183	0.774	0.043
twitches	positive	0.221	0.205	0.574
boones	neutral	0.406	0.493	0.1
@user724868	negative	0.599	0.306	0.095
@user988580	neutral	0.271	0.532	0.198
apush	neutral	0.346	0.627	0.027
overdrive	neutral	0.316	0.599	0.086
http://bit.ly/sxp2x	positive	0.029	0.277	0.694
suzie	neutral	0.023	0.544	0.433
boomin	neutral	0.088	0.774	0.138
boomer	positive	0.094	0.445	0.462
periods	neutral	0.429	0.55	0.022
@user724780	neutral	0.351	0.608	0.041
#fenway	neutral	0.104	0.746	0.15
harvard	neutral	0.039	0.764	0.197
enhancers	neutral	0.127	0.623	0.25
on-screen	neutral	0.097	0.733	0.171
homebase	neutral	0.104	0.803	0.093
@user1415711	negative	0.603	0.348	0.049
@user381953	neutral	0.319	0.499	0.182
cartels	negative	0.749	0.243	0.007
front-end	neutral	0.012	0.657	0.331
wrongg	negative	0.678	0.292	0.03
wrongs	negative	0.401	0.205	0.394
northumberland	neutral	0.038	0.879	0.082
@user449145	negative	0.515	0.394	0.091
#tenso	neutral	0.406	0.477	0.117
reflexes	negative	0.738	0.196	0.066
#appdiscover	positive	0.165	0.382	0.453
carters	neutral	0.181	0.634	0.185
nominating	positive	0.163	0.338	0.499
@user381809	neutral	0.098	0.525	0.377
@user381813	negative	0.613	0.312	0.075
@user381811	positive	0.002	0.034	0.964
bookin	positive	0.042	0.374	0.585
bookie	positive	0.1	0.437	0.463
@user381836	neutral	0.076	0.567	0.357
@user381838	positive	0.365	0.211	0.424
pillars	neutral	0.051	0.881	0.068
savard	neutral	0.042	0.513	0.446
booked	neutral	0.188	0.699	0.113
booker	neutral	0.175	0.458	0.368
@user449079	neutral	0.194	0.509	0.297
pre-school	neutral	0.058	0.873	0.068
savant	neutral	0.1	0.682	0.218
fbook	neutral	0.323	0.629	0.048
@user449064	neutral	0.406	0.503	0.091
geyser	neutral	0.272	0.626	0.103
wheelchair	negative	0.491	0.486	0.024
@user988495	positive	0.015	0.252	0.733
@user553259	negative	0.499	0.397	0.103
http://bit.ly/3mbz76	positive	0.329	0.335	0.336
broadways	neutral	0.262	0.638	0.1
relatives	negative	0.581	0.268	0.151
@user278716	neutral	0.084	0.594	0.321
enhancing	positive	0.008	0.445	0.548
fiquei	neutral	0.178	0.721	0.101
@jacobhoggard	neutral	0.046	0.565	0.389
@user278729	positive	0.058	0.232	0.709
@user278736	positive	0.005	0.492	0.503
@user1415283	positive	0.053	0.414	0.533
@user278799	positive	0.011	0.341	0.648
boobee	neutral	0.022	0.877	0.1
bueller	neutral	0.444	0.541	0.014
melanoma	negative	0.812	0.141	0.047
shuttup	positive	0.303	0.235	0.463
boobie	negative	0.423	0.343	0.233
reconnected	negative	0.597	0.145	0.258
congratsss	positive	0.03	0.097	0.873
http://hootsuite.com	neutral	0.146	0.523	0.331
indulging	neutral	0.061	0.745	0.194
necesito	neutral	0.253	0.601	0.146
http://quu.nu/33qgec	neutral	0.065	0.912	0.023
shuttin	negative	0.582	0.341	0.077
http://bit.ly/5y9rme	positive	0.148	0.248	0.604
chanqed	negative	0.83	0.117	0.054
modded	neutral	0.283	0.661	0.057
soundclick	neutral	0.067	0.86	0.073
@user278681	neutral	0.034	0.556	0.41
fishbowl	neutral	0.283	0.675	0.043
xbox.com	neutral	0.308	0.682	0.01
wankers	negative	0.9	0.076	0.024
galleries	neutral	0.031	0.794	0.175
pillows	neutral	0.074	0.855	0.072
models	neutral	0.148	0.578	0.274
modelo	neutral	0.134	0.811	0.055
@user278567	neutral	0.367	0.378	0.255
lineups	neutral	0.347	0.432	0.221
@user278575	neutral	0.137	0.808	0.056
senhorita	negative	0.827	0.144	0.029
housee	neutral	0.251	0.559	0.19
housed	neutral	0.138	0.763	0.098
houses	neutral	0.106	0.843	0.051
crocodile	neutral	0.226	0.717	0.057
house-	negative	0.513	0.468	0.019
modern	negative	0.459	0.445	0.097
willowbrook	positive	0.006	0.472	0.521
right-wing	negative	0.666	0.28	0.054
tasmanian	negative	0.652	0.267	0.081
hourss	neutral	0.153	0.797	0.05
#vegetarian	neutral	0.103	0.663	0.235
five-year	neutral	0.391	0.55	0.058
savers	neutral	0.265	0.381	0.354
@user278437	neutral	0.277	0.498	0.225
#cyclocross	neutral	0.052	0.889	0.059
@user278446	neutral	0.067	0.895	0.038
untalented	negative	0.954	0.018	0.028
@user278489	positive	0.039	0.467	0.494
@user278499	positive	0.171	0.366	0.463
hosting-free	neutral	0.032	0.494	0.474
polluted	negative	0.744	0.109	0.147
examiner.com:	neutral	0.174	0.51	0.315
qualquer	neutral	0.09	0.862	0.048
@user724094	neutral	0.439	0.491	0.07
legged	neutral	0.127	0.825	0.049
writeup	neutral	0.071	0.797	0.132
clients	positive	0.097	0.378	0.525
4days	neutral	0.13	0.622	0.248
rented	negative	0.429	0.402	0.168
watchable	positive	0.306	0.039	0.654
writers	neutral	0.263	0.446	0.291
@user278225	neutral	0.076	0.56	0.364
#tucson	neutral	0.004	0.567	0.429
anutha	neutral	0.415	0.503	0.081
@user278213	positive	0.103	0.306	0.591
@user278268	positive	0.027	0.391	0.582
renton	neutral	0.003	0.726	0.271
wanking	negative	0.811	0.142	0.047
how-to	neutral	0.025	0.563	0.412
albuquerque	neutral	0.068	0.657	0.275
16-18	neutral	0.077	0.535	0.389
underpass	neutral	0.186	0.762	0.052
wreckin	negative	0.594	0.264	0.142
collateral	neutral	0.395	0.433	0.172
modify	neutral	0.073	0.752	0.175
thominhas	neutral	0.184	0.768	0.048
wrecker	neutral	0.264	0.379	0.356
babysittin	negative	0.773	0.129	0.098
yessssss	positive	0.253	0.226	0.52
@user724253	negative	0.62	0.277	0.102
#idriveonlinebackup	positive	0.03	0.422	0.548
resourcing	positive	0.147	0.209	0.644
aqain	negative	0.648	0.253	0.1
savino	neutral	0.004	0.609	0.386
babysitter	neutral	0.258	0.683	0.059
coltrane	neutral	0.204	0.541	0.255
courseee	positive	0.234	0.226	0.54
@user449910	neutral	0.162	0.592	0.246
@user449913	positive	0.192	0.318	0.49
@user449912	positive	0.419	0.158	0.423
@user449946	positive	0.174	0.202	0.624
shutout	negative	0.703	0.149	0.148
#smartphone	neutral	0.074	0.645	0.281
booboo	positive	0.144	0.427	0.429
hounds	negative	0.535	0.448	0.017
#texas	neutral	0.329	0.414	0.257
chantal	positive	0.199	0.3	0.501
!!??????	negative	0.424	0.334	0.243
chantel	positive	0.069	0.432	0.5
http://bit.ly/ogilk	neutral	0.138	0.67	0.192
@user1072599	neutral	0.043	0.686	0.271
16/12	neutral	0.017	0.746	0.237
@user5505448	positive	0.024	0.444	0.532
gaines	neutral	0.038	0.647	0.315
willie	neutral	0.134	0.662	0.205
willis	neutral	0.159	0.657	0.184
willin	negative	0.731	0.104	0.165
willll	positive	0.057	0.28	0.663
donating	positive	0.008	0.416	0.576
wilmer	neutral	0.354	0.53	0.117
footnote	neutral	0.057	0.574	0.369
#letsgo	positive	0.067	0.216	0.716
willys	neutral	0.068	0.837	0.095
@user2866753	positive	0.171	0.301	0.527
@user552934	neutral	0.157	0.487	0.357
boozer	neutral	0.077	0.681	0.241
underoath	positive	0.237	0.358	0.405
gaiman	neutral	0.069	0.762	0.17
@user4962401	positive	0.128	0.316	0.556
flowchart	neutral	0.086	0.662	0.251
rollover	neutral	0.239	0.716	0.045
galileo	neutral	0.195	0.514	0.291
kensington	neutral	0.016	0.813	0.172
trifling	negative	0.928	0.063	0.008
16000	neutral	0.005	0.642	0.353
booyah	positive	0.048	0.274	0.678
richards	neutral	0.206	0.579	0.215
curren$y	neutral	0.238	0.449	0.313
hehhehe	positive	0.048	0.47	0.482
#trustme	neutral	0.387	0.469	0.144
@user277998	negative	0.689	0.108	0.203
@user277997	positive	0.045	0.261	0.694
mockup	neutral	0.02	0.811	0.169
160gb	neutral	0.026	0.61	0.363
@user1782776	positive	0.013	0.247	0.74
mind-boggling	negative	0.8	0.133	0.067
currensy	neutral	0.351	0.511	0.138
currents	negative	0.507	0.378	0.114
indulgent	negative	0.742	0.033	0.224
@user2431572	negative	0.379	0.288	0.332
ambience	neutral	0.022	0.683	0.295
@user277871	positive	0.057	0.443	0.5
#indonesiabanget	neutral	0.352	0.437	0.21
countryside	neutral	0.141	0.777	0.082
cbsnews	negative	0.741	0.183	0.075
dustin	neutral	0.077	0.6	0.323
pre-existing	negative	0.421	0.308	0.271
dusted	neutral	0.142	0.512	0.346
reflectx	neutral	0.001	0.738	0.262
reflects	positive	0.069	0.361	0.57
@user277733	neutral	0.337	0.553	0.11
fearne	neutral	0.033	0.759	0.209
@user277769	positive	0.116	0.339	0.546
oughta	neutral	0.426	0.527	0.048
feared	negative	0.597	0.178	0.224
mangoes	neutral	0.098	0.495	0.407
http://bit.ly/120ram	neutral	0.14	0.684	0.176
sevenfold	neutral	0.326	0.532	0.142
@user3409471	neutral	0.34	0.348	0.312
oil-rich	positive	0.262	0.238	0.5
feasts	neutral	0.017	0.541	0.441
advertised	neutral	0.304	0.435	0.261
advertiser	neutral	0.243	0.533	0.224
advertises	neutral	0.11	0.535	0.356
marxist	negative	0.455	0.194	0.351
@user277674	neutral	0.048	0.568	0.383
shuteye	neutral	0.048	0.661	0.29
cautious	positive	0.244	0.041	0.714
want/need	neutral	0.161	0.75	0.089
wilkos	neutral	0.443	0.526	0.031
can&apos	neutral	0.277	0.415	0.308
@user277536	neutral	0.126	0.516	0.358
wilkes	neutral	0.033	0.607	0.361
fcast	neutral	0	0.916	0.084
seether	negative	0.448	0.125	0.427
debatable	negative	0.681	0.149	0.17
@user277565	positive	0.133	0.311	0.557
ashely	positive	0.029	0.422	0.549
willed	negative	0.492	0.046	0.462
#hellohurricane	positive	0.171	0.341	0.488
@user381723	neutral	0.42	0.503	0.077
@user723911	negative	0.515	0.298	0.187
@user987601	neutral	0.268	0.643	0.089
margarita	neutral	0.132	0.751	0.118
@user987660	positive	0.045	0.416	0.539
confrence	neutral	0.036	0.918	0.046
boosie	negative	0.457	0.37	0.174
@user552068	positive	0.241	0.285	0.474
@user552031	negative	0.551	0.362	0.087
outback	neutral	0.058	0.702	0.241
fingernail	neutral	0.29	0.68	0.03
@user6245543	positive	0.036	0.455	0.508
mangino	neutral	0.281	0.567	0.152
mangini	negative	0.514	0.304	0.183
#jabbachristmas	positive	0.1	0.39	0.511
twillight	negative	0.586	0.257	0.157
thehimalayantimes	negative	0.641	0.062	0.297
lafayette	neutral	0.015	0.797	0.188
http://www.epicpetwars.com	neutral	0.306	0.509	0.185
@user381658	negative	0.596	0.119	0.285
hairdressers	neutral	0.115	0.829	0.057
bipartisan	positive	0.175	0.352	0.473
chocobo	neutral	0.389	0.514	0.097
