word	label	negative	neutral	positive
'o\'s'	neutral	0.303	0.415	0.282
mer	neutral	0.174	0.759	0.067
meu	neutral	0.218	0.536	0.246
met	neutral	0.087	0.594	0.319
mey	neutral	0.228	0.555	0.217
mex	neutral	0.117	0.669	0.214
mez	neutral	0.3	0.609	0.091
mfa	neutral	0.008	0.848	0.144
mfc	negative	0.5	0.459	0.042
mff	neutral	0.014	0.625	0.361
mga	negative	0.398	0.367	0.235
mgg	neutral	0.25	0.718	0.032
mgm	neutral	0.062	0.8	0.138
mgs	neutral	0.19	0.768	0.043
mgr	neutral	0.007	0.626	0.366
playback	neutral	0.071	0.818	0.111
mgt	neutral	0.021	0.87	0.109
mha	negative	0.438	0.222	0.34
mhe	neutral	0.45	0.457	0.093
mhh	neutral	0.216	0.614	0.17
mhm	neutral	0.294	0.59	0.115
mhs	positive	0.28	0.246	0.474
how’s	positive	0.015	0.465	0.52
mhy	positive	0.122	0.344	0.535
mia	negative	0.595	0.224	0.181
mic	neutral	0.068	0.829	0.104
mie	neutral	0.169	0.527	0.305
mig	neutral	0.189	0.559	0.252
mii	neutral	0.191	0.649	0.16
mih	neutral	0.071	0.813	0.116
mik	neutral	0.102	0.871	0.026
mij	neutral	0.232	0.714	0.054
mim	neutral	0.167	0.598	0.236
mil	neutral	0.094	0.706	0.2
mio	neutral	0.143	0.763	0.094
min	neutral	0.066	0.85	0.084
mis	neutral	0.224	0.595	0.181
mit	neutral	0.299	0.647	0.055
#smh	negative	0.709	0.179	0.111
miz	positive	0.3	0.168	0.532
associates	neutral	0.098	0.652	0.25
mjb	positive	0.243	0.063	0.694
associated	neutral	0.407	0.492	0.101
mjs	neutral	0.394	0.552	0.054
#sng	negative	0.637	0.162	0.201
#snl	neutral	0.365	0.586	0.049
#sot	positive	0.262	0.234	0.504
mke	neutral	0.268	0.685	0.047
o-o	neutral	0.119	0.655	0.226
mkn	neutral	0.2	0.492	0.308
mks	neutral	0.393	0.491	0.115
mkt	neutral	0.173	0.641	0.187
#sog	negative	0.687	0.19	0.124
mkv	neutral	0.265	0.721	0.014
mlb	neutral	0.103	0.795	0.102
mla	neutral	0.341	0.567	0.092
o.c	neutral	0.163	0.771	0.066
mlg	neutral	0.35	0.535	0.115
mlk	positive	0.054	0.373	0.573
o.k	negative	0.525	0.238	0.237
mlm	neutral	0.099	0.563	0.338
o.o	negative	0.566	0.39	0.044
mls	neutral	0.066	0.849	0.085
#spn	neutral	0.237	0.549	0.214
mma	neutral	0.027	0.703	0.27
mme	neutral	0.128	0.68	0.192
mmg	neutral	0.458	0.472	0.07
mmh	neutral	0.111	0.71	0.18
mmk	neutral	0.082	0.616	0.301
mmm	neutral	0.129	0.74	0.13
mmo	neutral	0.322	0.605	0.073
o/s	neutral	0.087	0.677	0.237
mms	neutral	0.33	0.638	0.032
mmy	neutral	0.121	0.559	0.321
mna	neutral	0.242	0.703	0.055
mnf	neutral	0.279	0.399	0.322
mne	neutral	0.252	0.534	0.213
mng	neutral	0.248	0.691	0.061
o0o	neutral	0.214	0.412	0.375
mp4	neutral	0.061	0.762	0.177
mp3	neutral	0.121	0.677	0.203
mnt	neutral	0.138	0.782	0.079
mns	neutral	0.285	0.659	0.056
#srk	negative	0.472	0.114	0.413
mny	negative	0.424	0.317	0.259
moa	neutral	0.103	0.735	0.162
moc	neutral	0.118	0.84	0.042
moe	neutral	0.275	0.66	0.065
mod	neutral	0.128	0.604	0.268
mog	neutral	0.062	0.808	0.129
moi	neutral	0.15	0.607	0.243
moh	neutral	0.181	0.768	0.051
moj	neutral	0.192	0.746	0.062
mom	positive	0.177	0.384	0.438
mol	neutral	0.192	0.672	0.137
mon	neutral	0.277	0.555	0.169
mos	neutral	0.222	0.634	0.144
mor	neutral	0.247	0.507	0.246
mou	neutral	0.134	0.686	0.179
mot	neutral	0.226	0.717	0.056
mov	neutral	0.12	0.636	0.245
moy	neutral	0.418	0.543	0.039
moz	positive	0.183	0.346	0.471
thathipsterporn	positive	0.047	0.268	0.685
mpc	neutral	0.258	0.711	0.031
mpe	neutral	0.276	0.689	0.035
mph	neutral	0.109	0.868	0.023
mpg	neutral	0.086	0.736	0.178
mr.	neutral	0.076	0.621	0.303
',....'	neutral	0.188	0.618	0.194
mps	negative	0.514	0.228	0.257
#stl	neutral	0.069	0.566	0.365
#sto	neutral	0.245	0.587	0.168
ms.	neutral	0.078	0.61	0.312
mre	positive	0.023	0.37	0.607
mri	neutral	0.24	0.718	0.043
mrk	neutral	0.213	0.574	0.213
mrt	neutral	0.205	0.627	0.168
mrs	neutral	0.103	0.729	0.168
msa	neutral	0.045	0.662	0.293
msc	neutral	0.011	0.633	0.355
#svu	negative	0.697	0.196	0.108
msg	neutral	0.17	0.703	0.127
msi	neutral	0.088	0.619	0.293
msh	neutral	0.173	0.68	0.147
msk	neutral	0.05	0.731	0.219
msm	neutral	0.232	0.677	0.091
msn	neutral	0.423	0.519	0.058
msp	neutral	0.169	0.682	0.149
mss	negative	0.416	0.391	0.193
msu	neutral	0.161	0.595	0.244
mst	neutral	0.065	0.611	0.324
jaan	positive	0.065	0.3	0.635
jaar	neutral	0.115	0.864	0.021
mtb	neutral	0.425	0.492	0.083
mta	neutral	0.129	0.604	0.267
mtc	positive	0.001	0.241	0.758
mth	neutral	0.026	0.698	0.276
mtg	neutral	0.045	0.725	0.23
mtl	neutral	0.079	0.736	0.185
mtk	neutral	0.109	0.803	0.088
mtn	neutral	0.028	0.815	0.157
mto	neutral	0.188	0.496	0.316
mtt	neutral	0.167	0.64	0.194
mts	neutral	0.39	0.594	0.016
mtv	neutral	0.207	0.56	0.233
jaah	neutral	0.295	0.452	0.253
mtu	positive	0.139	0.411	0.45
mty	neutral	0.165	0.69	0.145
mua	neutral	0.199	0.54	0.262
muc	positive	0.175	0.15	0.675
mug	neutral	0.108	0.759	0.133
mui	neutral	0.087	0.502	0.411
muh	neutral	0.233	0.699	0.068
muk	positive	0.003	0.212	0.785
mum	neutral	0.204	0.463	0.333
jada	neutral	0.035	0.756	0.209
mun	neutral	0.255	0.688	0.057
mw2	neutral	0.233	0.723	0.044
mus	positive	0.2	0.299	0.501
muu	neutral	0.342	0.639	0.019
jadi	neutral	0.184	0.481	0.335
mut	negative	0.747	0.221	0.032
muy	neutral	0.277	0.561	0.163
muz	neutral	0.469	0.497	0.034
mvc	neutral	0.014	0.76	0.227
mvp	neutral	0.149	0.476	0.375
jace	neutral	0.105	0.448	0.447
jaci	neutral	0.051	0.586	0.363
mwa	positive	0.036	0.299	0.665
jabs	negative	0.923	0.046	0.031
mwf	neutral	0.277	0.72	0.003
mwk	neutral	0.388	0.458	0.154
#cricutcake	neutral	0.08	0.634	0.287
mya	positive	0.069	0.286	0.645
myb	negative	0.563	0.387	0.051
myn	neutral	0.045	0.683	0.273
myt	neutral	0.331	0.567	0.102
myy	neutral	0.26	0.451	0.289
myx	positive	0.1	0.329	0.571
jags	positive	0.256	0.313	0.43
jamaican	neutral	0.133	0.729	0.138
kauai	neutral	0.067	0.561	0.372
jaga	neutral	0.185	0.473	0.341
jagk	neutral	0.086	0.791	0.123
jago	neutral	0.114	0.703	0.183
#tad	neutral	0.078	0.712	0.21
jaja	neutral	0.184	0.467	0.35
modeled	negative	0.748	0.158	0.094
jahr	positive	0.015	0.242	0.743
@user195616	positive	0.025	0.422	0.553
#tck	negative	0.587	0.116	0.297
n_n	positive	0.306	0.233	0.461
jake	neutral	0.138	0.704	0.158
jaki	neutral	0.058	0.843	0.099
#tdl	positive	0.068	0.257	0.675
jako	neutral	0.124	0.816	0.06
weirdness	positive	0.414	0.025	0.561
jang	neutral	0.363	0.399	0.239
jani	neutral	0.146	0.66	0.194
jank	negative	0.825	0.073	0.102
jann	neutral	0.185	0.693	0.122
naa	negative	0.474	0.387	0.139
nad	neutral	0.128	0.645	0.227
nac	neutral	0.021	0.791	0.189
nae	neutral	0.279	0.653	0.068
nah	negative	0.609	0.338	0.053
jamz	neutral	0.107	0.77	0.123
nai	neutral	0.346	0.493	0.16
nak	neutral	0.34	0.474	0.186
nan	neutral	0.081	0.581	0.339
jana	neutral	0.056	0.6	0.345
nam	neutral	0.168	0.721	0.111
nap	neutral	0.388	0.511	0.101
#tea	neutral	0.023	0.703	0.274
nao	neutral	0.236	0.538	0.226
nar	neutral	0.077	0.595	0.328
jane	neutral	0.155	0.56	0.285
jajá	neutral	0.126	0.606	0.268
nat	neutral	0.143	0.663	0.194
nas	neutral	0.104	0.57	0.326
jami	positive	0.049	0.145	0.807
nav	neutral	0.044	0.821	0.135
nau	neutral	0.309	0.403	0.289
nax	positive	0.13	0.418	0.452
naw	negative	0.601	0.303	0.096
naz	positive	0.012	0.41	0.578
jamm	negative	0.404	0.333	0.263
jams	neutral	0.137	0.762	0.101
nba	neutral	0.149	0.682	0.169
nbc	neutral	0.368	0.521	0.111
nbd	negative	0.805	0.126	0.069
nbt	positive	0.064	0.336	0.6
skydiving	neutral	0.173	0.716	0.111
ncc	neutral	0.104	0.789	0.106
supermassive	positive	0.375	0.103	0.522
japa	neutral	0.286	0.415	0.299
ne1	neutral	0.154	0.578	0.268
nda	neutral	0.11	0.821	0.069
ndd	neutral	0.068	0.554	0.378
ndi	negative	0.565	0.4	0.036
#thb	positive	0.21	0.076	0.715
p&p	neutral	0.158	0.507	0.335
nds	neutral	0.136	0.796	0.068
#the	positive	0.243	0.296	0.46
#tip	positive	0.167	0.13	0.703
jars	neutral	0.12	0.82	0.06
neb	negative	0.441	0.259	0.299
jáa	neutral	0.22	0.528	0.252
ned	neutral	0.181	0.714	0.105
nec	neutral	0.067	0.618	0.316
nee	neutral	0.398	0.499	0.103
neh	neutral	0.311	0.572	0.116
neg	negative	0.597	0.386	0.017
nej	neutral	0.041	0.784	0.175
nei	neutral	0.326	0.45	0.224
nel	neutral	0.038	0.82	0.142
nek	neutral	0.176	0.687	0.137
nen	neutral	0.07	0.738	0.193
nem	neutral	0.257	0.501	0.242
neo	neutral	0.225	0.651	0.124
ner	neutral	0.291	0.621	0.088
jare	neutral	0.013	0.846	0.141
'p\'s'	neutral	0.276	0.52	0.204
nes	neutral	0.051	0.732	0.217
nev	neutral	0.121	0.818	0.061
neu	negative	0.473	0.463	0.065
nex	neutral	0.256	0.576	0.168
new	neutral	0.008	0.645	0.347
nez	neutral	0.268	0.581	0.15
ney	positive	0.126	0.301	0.572
nfc	neutral	0.116	0.635	0.25
nfg	negative	0.396	0.21	0.394
nfl	neutral	0.156	0.662	0.183
nfs	neutral	0.142	0.824	0.034
nga	neutral	0.371	0.389	0.24
nge	neutral	0.14	0.705	0.155
ngl	positive	0.254	0.347	0.399
ngm	neutral	0.275	0.562	0.162
ngo	neutral	0.076	0.714	0.21
nha	positive	0.153	0.33	0.517
#tls	positive	0.107	0.07	0.823
nhi	neutral	0.207	0.55	0.244
fender	neutral	0.089	0.792	0.119
nhl	neutral	0.133	0.77	0.097
nhs	neutral	0.158	0.672	0.17
jase	positive	0.015	0.403	0.583
nia	neutral	0.184	0.682	0.134
nid	neutral	0.094	0.661	0.245
nic	neutral	0.126	0.715	0.159
nie	neutral	0.208	0.478	0.314
jáá	neutral	0.095	0.484	0.42
nih	neutral	0.124	0.58	0.296
nig	negative	0.638	0.075	0.287
nii	neutral	0.256	0.497	0.247
nik	neutral	0.061	0.688	0.251
nin	neutral	0.158	0.631	0.212
java	neutral	0.034	0.856	0.111
crazzyy	negative	0.734	0.177	0.089
nim	neutral	0.286	0.694	0.02
nio	neutral	0.12	0.568	0.312
nit	neutral	0.421	0.541	0.038
nis	positive	0.094	0.417	0.49
javi	neutral	0.353	0.385	0.262
niu	neutral	0.137	0.504	0.36
nix	neutral	0.347	0.571	0.082
#tmi	negative	0.759	0.211	0.03
niy	neutral	0.133	0.747	0.12
#tna	negative	0.752	0.134	0.114
jauh	neutral	0.068	0.71	0.222
#top	positive	0.046	0.18	0.774
jaxx	neutral	0.033	0.682	0.285
students	neutral	0.347	0.483	0.17
jaya	neutral	0.028	0.658	0.314
nko	positive	0.251	0.293	0.456
jaws	negative	0.483	0.395	0.123
p.e	neutral	0.144	0.765	0.091
p.m	neutral	0.193	0.762	0.044
jawa	neutral	0.145	0.637	0.219
p.s	neutral	0.15	0.443	0.407
nlt	positive	0.165	0.334	0.5
nly	neutral	0.213	0.686	0.101
jawn	neutral	0.253	0.56	0.186
jazz	neutral	0.121	0.463	0.417
nme	neutral	0.255	0.602	0.143
tapatio	neutral	0.057	0.904	0.04
no-	negative	0.628	0.371	0.001
nmn	negative	0.402	0.305	0.293
no1	negative	0.44	0.273	0.287
nmr	neutral	0.121	0.771	0.109
p/s	positive	0.282	0.022	0.696
p/u	neutral	0.083	0.543	0.374
jays	neutral	0.041	0.826	0.133
revamped	neutral	0.028	0.62	0.352
jayy	positive	0.05	0.357	0.593
než	neutral	0.14	0.772	0.088
jayz	neutral	0.26	0.373	0.367
jaye	neutral	0.096	0.667	0.237
nnt	neutral	0.337	0.466	0.198
jayk	positive	0.153	0.287	0.56
nob	neutral	0.254	0.6	0.146
#tss	positive	0.018	0.38	0.601
noa	positive	0.01	0.45	0.539
noc	neutral	0.239	0.643	0.118
noe	positive	0.27	0.308	0.422
noh	positive	0.263	0.347	0.389
nog	neutral	0.229	0.731	0.04
noi	neutral	0.204	0.743	0.053
nok	neutral	0.158	0.808	0.034
non	neutral	0.323	0.504	0.174
nom	neutral	0.085	0.832	0.083
nop	positive	0.159	0.379	0.462
noo	negative	0.671	0.253	0.076
nor	negative	0.642	0.327	0.03
katsu	neutral	0.015	0.68	0.306
not	negative	0.621	0.298	0.08
nos	neutral	0.231	0.703	0.066
nov	neutral	0.049	0.806	0.145
nou	neutral	0.216	0.748	0.036
now	negative	0.439	0.382	0.179
noy	neutral	0.126	0.778	0.096
nph	negative	0.34	0.326	0.333
hablando	neutral	0.305	0.641	0.054
npp	neutral	0.165	0.466	0.369
npr	neutral	0.265	0.659	0.076
katty	neutral	0.112	0.822	0.066
container	neutral	0.199	0.785	0.016
#tvd	neutral	0.237	0.458	0.305
nra	neutral	0.032	0.784	0.185
nrg	positive	0.02	0.419	0.562
nrj	positive	0.088	0.059	0.853
#congratsnjata	positive	0.036	0.245	0.719
#pens	negative	0.513	0.091	0.397
nsa	negative	0.439	0.407	0.155
nsn	neutral	0.253	0.458	0.289
nsw	neutral	0.207	0.706	0.088
nta	positive	0.166	0.289	0.545
nti	neutral	0.129	0.457	0.414
nth	neutral	0.169	0.521	0.31
ntl	neutral	0.246	0.751	0.003
nto	negative	0.549	0.324	0.127
ntn	neutral	0.159	0.657	0.183
nts	negative	0.566	0.369	0.065
ntr	neutral	0.081	0.619	0.299
ntu	neutral	0.238	0.607	0.155
bargains	neutral	0.039	0.485	0.476
katya	neutral	0.191	0.641	0.168
nua	neutral	0.243	0.644	0.113
nuh	negative	0.515	0.179	0.305
num	neutral	0.194	0.621	0.185
nup	neutral	0.331	0.504	0.164
nur	neutral	0.368	0.536	0.097
nut	neutral	0.378	0.59	0.033
nus	neutral	0.032	0.706	0.262
nuu	negative	0.718	0.162	0.12
nvm	negative	0.626	0.324	0.05
nvr	negative	0.605	0.164	0.231
nwa	neutral	0.019	0.679	0.302
nwo	neutral	0.209	0.765	0.026
@user6045262	positive	0.01	0.093	0.897
nxt	neutral	0.16	0.687	0.154
tempura	neutral	0.085	0.887	0.028
contained	negative	0.665	0.221	0.113
#pets	negative	0.549	0.047	0.404
nya	neutral	0.15	0.487	0.363
nyd	neutral	0.08	0.881	0.039
nyc	neutral	0.088	0.682	0.231
nye	neutral	0.069	0.476	0.455
nyp	neutral	0.015	0.633	0.353
nyo	neutral	0.058	0.531	0.412
nyr	neutral	0.064	0.631	0.305
nyt	neutral	0.357	0.444	0.199
nys	neutral	0.01	0.647	0.342
nyu	neutral	0.056	0.648	0.296
nyx	neutral	0.046	0.885	0.07
@user195749	positive	0.019	0.428	0.553
tomato	neutral	0.047	0.888	0.065
o_0	negative	0.59	0.382	0.027
gtalk	neutral	0.46	0.473	0.067
songwriters	positive	0.029	0.417	0.554
o_o	negative	0.641	0.309	0.05
lezen	neutral	0.232	0.716	0.052
sowwyy	negative	0.501	0.395	0.104
burden	negative	0.494	0.213	0.293
marathi	neutral	0.183	0.746	0.071
oat	neutral	0.079	0.885	0.036
oba	neutral	0.009	0.589	0.402
katee	neutral	0.257	0.462	0.281
obe	neutral	0.05	0.825	0.125
@user11374	positive	0.002	0.102	0.896
obg	neutral	0.153	0.593	0.253
@user11375	positive	0.006	0.18	0.814
#ufc	negative	0.747	0.057	0.196
obs	negative	0.547	0.39	0.064
obv	negative	0.426	0.184	0.39
katey	neutral	0.163	0.7	0.137
occ	neutral	0.22	0.759	0.021
ocd	negative	0.59	0.319	0.09
och	neutral	0.263	0.606	0.131
@user11362	neutral	0.018	0.957	0.025
kates	neutral	0.241	0.704	0.055
ocs	positive	0.173	0.196	0.631
oct	neutral	0.166	0.708	0.126
q&a	neutral	0.058	0.829	0.113
oda	neutral	0.33	0.537	0.132
odi	neutral	0.033	0.781	0.186
kathi	neutral	0.037	0.746	0.218
oee	neutral	0.186	0.569	0.245
oeh	neutral	0.053	0.579	0.368
@user11340	neutral	0.02	0.552	0.427
'q\'s'	negative	0.44	0.393	0.167
oes	neutral	0.109	0.69	0.201
katia	neutral	0.29	0.453	0.257
katie	neutral	0.1	0.673	0.227
ofc	neutral	0.237	0.582	0.181
off	neutral	0.242	0.663	0.095
oh-	neutral	0.377	0.564	0.059
ofr	neutral	0.084	0.525	0.392
kathy	neutral	0.079	0.633	0.288
fittest	negative	0.46	0.13	0.41
oha	negative	0.652	0.131	0.217
letoya	neutral	0.367	0.376	0.258
ohh	neutral	0.368	0.48	0.152
maraton	neutral	0.274	0.542	0.184
ohk	negative	0.406	0.392	0.202
@user181146	positive	0.06	0.338	0.602
oho	neutral	0.266	0.611	0.123
ohs	neutral	0.276	0.609	0.115
ohw	positive	0.079	0.444	0.476
oia	positive	0.072	0.426	0.502
oic	neutral	0.287	0.55	0.163
oie	neutral	0.148	0.594	0.258
oii	neutral	0.113	0.619	0.267
ok-	neutral	0.394	0.535	0.071
oin	negative	0.861	0.118	0.022
riight	neutral	0.302	0.466	0.232
ojd	positive	0.317	0.123	0.56
ojo	neutral	0.253	0.652	0.095
ojt	neutral	0.064	0.83	0.106
fozzy	neutral	0.37	0.453	0.178
oka	neutral	0.357	0.502	0.14
okc	neutral	0.073	0.715	0.212
oke	neutral	0.118	0.46	0.422
oki	positive	0.237	0.32	0.443
okk	neutral	0.34	0.389	0.271
oks	positive	0.321	0.321	0.358
oky	negative	0.626	0.111	0.262
github	neutral	0.179	0.79	0.031
ola	neutral	0.082	0.468	0.45
old	neutral	0.164	0.469	0.367
ole	neutral	0.06	0.581	0.359
oli	neutral	0.092	0.72	0.188
on-	neutral	0.349	0.634	0.016
on2	neutral	0.11	0.667	0.223
#w2e	neutral	0.22	0.498	0.282
oly	neutral	0.137	0.676	0.187
oma	neutral	0.14	0.681	0.179
omb	negative	0.528	0.258	0.214
ome	neutral	0.237	0.688	0.075
omd	negative	0.434	0.311	0.255
omg	negative	0.714	0.155	0.131
omf	negative	0.454	0.118	0.428
omi	positive	0.076	0.274	0.65
omj	positive	0.346	0.264	0.391
omm	neutral	0.067	0.656	0.277
omo	positive	0.222	0.264	0.514
omq	negative	0.497	0.399	0.104
oo2	negative	0.551	0.289	0.161
omw	neutral	0.113	0.637	0.249
omy	positive	0.076	0.433	0.491
indicação	neutral	0.158	0.481	0.361
ona	neutral	0.203	0.737	0.06
one	neutral	0.07	0.639	0.291
ong	neutral	0.128	0.703	0.169
diferente	neutral	0.14	0.484	0.376
oni	neutral	0.116	0.799	0.085
onn	neutral	0.135	0.639	0.227
ono	neutral	0.076	0.809	0.115
ont	neutral	0.17	0.709	0.121
ons	neutral	0.27	0.714	0.016
onw	neutral	0.247	0.645	0.109
ony	neutral	0.14	0.773	0.088
ooc	negative	0.618	0.287	0.094
ood	negative	0.594	0.062	0.344
oof	negative	0.542	0.273	0.184
ooi	neutral	0.081	0.618	0.302
ooh	neutral	0.151	0.536	0.313
ook	neutral	0.304	0.602	0.093
oom	positive	0.093	0.196	0.711
ooo	neutral	0.132	0.543	0.325
oon	neutral	0.24	0.436	0.324
oop	neutral	0.241	0.707	0.052
oor	neutral	0.063	0.76	0.177
smokes	negative	0.693	0.177	0.131
oot	neutral	0.155	0.759	0.086
oow	neutral	0.075	0.503	0.422
opa	neutral	0.129	0.58	0.291
smoked	neutral	0.376	0.545	0.079
olá	neutral	0.238	0.53	0.232
opi	neutral	0.136	0.569	0.295
opm	negative	0.481	0.117	0.402
opp	neutral	0.043	0.704	0.253
opo	neutral	0.207	0.682	0.111
opt	neutral	0.173	0.667	0.16
ops	neutral	0.249	0.547	0.204
oqe	neutral	0.146	0.695	0.159
sowwie	negative	0.881	0.104	0.015
okidoki	neutral	0.225	0.5	0.275
ora	neutral	0.102	0.806	0.092
ord	neutral	0.127	0.693	0.181
org	neutral	0.227	0.467	0.306
ori	positive	0.01	0.416	0.574
orr	neutral	0.133	0.783	0.084
oru	neutral	0.415	0.498	0.087
osm	positive	0.264	0.271	0.464
oso	negative	0.5	0.463	0.037
oss	neutral	0.167	0.77	0.063
osu	neutral	0.372	0.447	0.182
ost	negative	0.394	0.365	0.241
osx	neutral	0.073	0.882	0.045
oth	positive	0.248	0.346	0.406
smokie	positive	0.209	0.301	0.49
otm	neutral	0.163	0.594	0.242
smokin	negative	0.655	0.173	0.173
otp	negative	0.454	0.31	0.236
ott	negative	0.586	0.297	0.117
otw	neutral	0.09	0.598	0.312
oui	neutral	0.07	0.73	0.2
ouh	neutral	0.225	0.41	0.365
storytime	neutral	0.004	0.513	0.484
oun	neutral	0.086	0.712	0.202
our	positive	0.032	0.463	0.505
ouu	neutral	0.139	0.481	0.379
out	neutral	0.405	0.534	0.061
ova	negative	0.459	0.404	0.136
ove	neutral	0.281	0.408	0.311
ovj	neutral	0.251	0.397	0.352
ovi	neutral	0.016	0.557	0.427
ovo	neutral	0.13	0.759	0.111
ovr	negative	0.523	0.375	0.102
tomboy	negative	0.862	0.101	0.036
owh	positive	0.225	0.385	0.39
owl	neutral	0.088	0.653	0.259
own	neutral	0.092	0.522	0.386
wonderfulness	positive	0.17	0.272	0.557
owt	neutral	0.312	0.564	0.124
oww	negative	0.491	0.344	0.165
oxo	positive	0.058	0.25	0.692
oya	neutral	0.232	0.617	0.15
oye	negative	0.433	0.406	0.161
oyu	positive	0.185	0.284	0.531
oyy	positive	0.157	0.403	0.44
procurando	neutral	0.11	0.631	0.259
gagawin	negative	0.358	0.349	0.293
wasn’t	neutral	0.411	0.552	0.037
'kay\'s'	neutral	0.219	0.493	0.288
kitchener	neutral	0.009	0.779	0.212
#kickcancer	positive	0.061	0.413	0.526
paa	neutral	0.221	0.505	0.274
pac	neutral	0.105	0.796	0.099
pah	negative	0.683	0.183	0.134
pag	neutral	0.367	0.458	0.175
pai	neutral	0.124	0.694	0.182
pak	neutral	0.116	0.725	0.159
pan	neutral	0.153	0.732	0.115
pam	neutral	0.04	0.647	0.313
pao	neutral	0.172	0.701	0.127
pav	neutral	0.074	0.662	0.264
pau	neutral	0.259	0.434	0.307
paz	neutral	0.027	0.773	0.2
pba	neutral	0.087	0.701	0.212
candidates	neutral	0.284	0.604	0.111
pbb	negative	0.492	0.162	0.346
pbj	neutral	0.032	0.846	0.122
pbs	neutral	0.2	0.695	0.105
pbr	neutral	0.281	0.655	0.064
pca	neutral	0.056	0.822	0.122
pcd	neutral	0.299	0.363	0.339
pcc	neutral	0.026	0.7	0.274
pce	neutral	0.362	0.481	0.157
kawin	neutral	0.211	0.665	0.124
jocelyn	neutral	0.101	0.714	0.184
pcs	neutral	0.148	0.689	0.163
@user8432708	negative	0.35	0.332	0.318
pda	neutral	0.167	0.648	0.185
pdc	neutral	0.057	0.724	0.219
r&b	positive	0.122	0.41	0.469
r&d	neutral	0.079	0.869	0.052
pdf	neutral	0.08	0.787	0.133
pds	positive	0.118	0.02	0.862
r&r	positive	0.174	0.368	0.458
pdx	neutral	0.128	0.775	0.098
láa	neutral	0.177	0.457	0.367
pee	neutral	0.454	0.498	0.048
pei	neutral	0.169	0.706	0.124
peo	negative	0.454	0.449	0.097
per	neutral	0.052	0.652	0.296
pes	neutral	0.329	0.466	0.205
'r\'s'	negative	0.669	0.269	0.062
peu	neutral	0.251	0.74	0.009
pex	negative	0.609	0.329	0.062
pez	neutral	0.029	0.674	0.296
pfc	neutral	0.114	0.598	0.289
@user930305	neutral	0.088	0.849	0.063
pff	neutral	0.347	0.576	0.077
pft	negative	0.846	0.089	0.066
pga	neutral	0.107	0.514	0.379
pgh	neutral	0.143	0.8	0.058
pgn	neutral	0.233	0.59	0.177
pgs	neutral	0.025	0.846	0.129
pha	neutral	0.44	0.543	0.017
phd	neutral	0.034	0.865	0.102
phi	neutral	0.052	0.813	0.135
phl	neutral	0.024	0.812	0.164
pho	neutral	0.13	0.74	0.131
phn	negative	0.48	0.363	0.157
php	neutral	0.043	0.847	0.109
who’s	neutral	0.156	0.828	0.016
phy	neutral	0.103	0.836	0.061
phx	neutral	0.185	0.586	0.229
pia	positive	0.059	0.419	0.523
pic	neutral	0.014	0.774	0.212
pik	neutral	0.177	0.699	0.124
pim	neutral	0.117	0.797	0.086
pio	neutral	0.33	0.505	0.165
pis	neutral	0.275	0.616	0.109
in-law	positive	0.021	0.336	0.643
clinical	neutral	0.084	0.547	0.369
pjs	neutral	0.109	0.784	0.107
pke	neutral	0.107	0.593	0.3
pkg	neutral	0.045	0.771	0.184
pkn	positive	0.024	0.431	0.545
pla	neutral	0.35	0.457	0.193
plc	neutral	0.058	0.65	0.292
ple	positive	0.082	0.36	0.558
r.e	neutral	0.022	0.84	0.137
darned	negative	0.542	0.393	0.065
plg	neutral	0.239	0.672	0.09
plj	positive	0.323	0.033	0.644
pln	positive	0.025	0.425	0.55
plp	negative	0.38	0.361	0.259
pls	positive	0.083	0.354	0.563
plz	neutral	0.22	0.403	0.377
pml	neutral	0.187	0.646	0.167
r/k	negative	0.494	0.477	0.029
pmr	positive	0.397	0.183	0.421
r/t	positive	0.04	0.375	0.585
pms	negative	0.813	0.078	0.109
png	neutral	0.149	0.791	0.06
#gagaforhaiti	positive	0.25	0.105	0.645
pny	neutral	0.093	0.6	0.307
cadburys	negative	0.524	0.379	0.097
poa	neutral	0.067	0.708	0.225
poe	neutral	0.164	0.757	0.078
poh	neutral	0.254	0.43	0.316
poi	neutral	0.047	0.512	0.441
pol	neutral	0.225	0.686	0.089
pon	neutral	0.191	0.744	0.064
pom	neutral	0.065	0.853	0.082
poo	negative	0.763	0.163	0.074
por	neutral	0.155	0.601	0.244
darnit	negative	0.839	0.084	0.077
pos	neutral	0.29	0.673	0.037
pov	neutral	0.24	0.672	0.088
pou	neutral	0.048	0.699	0.253
pow	neutral	0.161	0.435	0.404
ppc	neutral	0.166	0.758	0.075
ppl	negative	0.534	0.309	0.157
pps	neutral	0.297	0.661	0.042
ppt	neutral	0.15	0.786	0.064
pamilya	neutral	0.206	0.42	0.374
ppv	neutral	0.122	0.576	0.302
pqe	neutral	0.183	0.569	0.248
countdown)	neutral	0.011	0.693	0.297
ps-	positive	0.305	0.268	0.427
ps2	neutral	0.143	0.76	0.098
pqp	neutral	0.299	0.545	0.156
ps1	neutral	0.122	0.79	0.088
ps3	neutral	0.08	0.818	0.102
pra	neutral	0.247	0.493	0.26
pre	neutral	0.078	0.79	0.132
pri	neutral	0.25	0.564	0.187
prp	negative	0.491	0.475	0.034
prs	neutral	0.176	0.758	0.066
prt	neutral	0.206	0.742	0.052
psb	positive	0.319	0.336	0.345
psa	negative	0.371	0.296	0.333
psd	neutral	0.091	0.766	0.143
